City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bathsheba,13.22,-59.52,30.0,70,20,3.1,BB,1596317721
Magnolia,33.27,-93.24,32.22,54,33,2.68,US,1596317721
Caxito,-8.58,13.66,21.0,88,20,2.1,AO,1596317721
Novogagatli,43.46,46.48,21.0,77,75,6.0,RU,1596317721
Chitipa,-9.7,33.27,12.42,90,36,3.65,MW,1596317722
Norman Wells,65.28,-126.83,28.0,48,5,4.6,CA,1596317722
Villacarrillo,38.12,-3.08,30.0,26,0,1.19,ES,1596317722
Tall Kayf,37.08,41.07,28.0,21,0,3.1,TR,1596317722
Vaitape,-16.52,-151.75,26.48,78,35,5.41,PF,1596317723
Saldanha,-33.01,17.94,14.0,71,0,1.0,ZA,1596317723
Tifton,31.45,-83.51,35.0,52,1,3.1,US,1596317723
Pointe Michel,15.25,-61.38,30.0,79,40,4.1,DM,1596317723
Pangnirtung,66.15,-65.71,8.38,80,100,1.17,CA,1596317724
Harper,4.38,-7.72,24.03,81,100,4.37,LR,1596317425
West Fargo,46.88,-96.9,26.0,50,20,7.7,US,1596317724
Ponta do Sol,32.67,-17.1,20.56,51,0,2.11,PT,1596317724
Kerman,30.28,57.08,25.0,33,40,1.45,IR,1596317725
Jatai,-17.88,-51.71,21.89,43,2,2.87,BR,1596317725
Havre-St-Pierre,50.23,-63.6,20.0,77,1,5.1,CA,1596317725
Bandarbeyla,9.49,50.81,25.35,73,79,11.36,SO,1596317726
Valparaíso,-33.04,-71.63,15.0,71,59,2.6,CL,1596317726
Bahía Blanca,-38.72,-62.27,13.34,66,100,3.68,AR,1596317587
Isangel,-19.55,169.27,21.93,79,54,7.97,VU,1596317726
George Town,5.41,100.34,25.0,94,40,2.6,MY,1596317720
Paraná,-31.73,-60.52,25.0,56,58,1.79,AR,1596317581
Champerico,14.3,-91.92,33.0,63,40,3.1,GT,1596317601
Khatanga,71.97,102.5,17.04,82,100,3.01,RU,1596317535
Tasiilaq,65.61,-37.64,11.0,40,20,1.5,GL,1596317729
Morón,-34.65,-58.62,17.78,81,74,0.89,AR,1596317729
Alofi,-19.06,-169.92,23.0,64,99,6.2,NU,1596317730
Dunedin,-45.87,170.5,12.78,61,92,1.79,NZ,1596317476
Kumul,42.8,93.45,23.42,19,20,1.48,CN,1596317730
Iskateley,67.68,53.15,11.22,93,87,3.29,RU,1596317730
Savalou,7.93,1.98,22.97,87,0,2.71,BJ,1596317730
Hammerfest,70.66,23.68,8.0,93,54,3.6,NO,1596317731
Ereymentau,51.62,73.1,19.52,54,0,2.67,KZ,1596317731
Birobidzhan,48.8,132.95,21.81,94,52,0.99,RU,1596317731
Cururupu,-1.83,-44.87,24.2,81,56,1.65,BR,1596317731
Sherlovaya Gora,50.57,116.25,14.51,100,38,3.38,RU,1596317732
Nouakchott,18.09,-15.98,29.0,74,0,9.3,MR,1596317732
Baykit,61.67,96.37,15.42,85,76,0.93,RU,1596317732
Yachimata,35.65,140.32,22.78,100,75,4.1,JP,1596317732
Paita,-5.09,-81.11,19.98,71,1,6.55,PE,1596317732
Flin Flon,54.77,-101.86,23.0,38,20,2.1,CA,1596317733
Sisimiut,66.94,-53.67,7.43,94,100,1.24,GL,1596317733
Andenes,69.31,16.12,12.0,93,0,7.2,NO,1596317733
Puerto Escondido,15.85,-97.07,33.0,66,5,4.1,MX,1596317558
Lagoa,39.05,-27.98,21.9,71,0,4.0,PT,1596317568
Bargteheide,53.73,10.27,21.11,79,100,0.45,DE,1596317734
Talnakh,69.49,88.4,13.0,82,70,4.0,RU,1596317734
Sabang,5.89,95.32,28.29,74,100,8.34,ID,1596317734
Klaksvík,62.23,-6.59,11.0,93,12,4.6,FO,1596317735
Mackenzie,55.3,-123.17,26.0,54,40,4.1,CA,1596317438
Adré,13.47,22.2,22.55,84,100,2.7,TD,1596317735
Tiksi,71.69,128.87,7.44,77,0,1.16,RU,1596317735
Daphne,30.6,-87.9,32.0,74,40,2.6,US,1596317730
Paiján,-7.73,-79.3,19.13,70,18,4.66,PE,1596317736
Ati,13.22,18.34,31.1,51,100,5.03,TD,1596317736
Alexandria,31.22,29.96,27.0,78,0,2.6,EG,1596317679
Otane,-39.88,176.63,9.44,90,91,1.34,NZ,1596317737
Torbay,47.67,-52.73,16.11,100,90,1.0,CA,1596317715
Bethel,41.37,-73.41,31.67,48,1,4.1,US,1596317533
Qasigiannguit,68.82,-51.19,6.84,83,96,1.91,GL,1596317568
Meulaboh,4.14,96.13,23.66,83,80,1.78,ID,1596317596
Avera,33.19,-82.53,36.0,28,1,5.7,US,1596317738
Padang,-0.95,100.35,25.33,81,91,2.08,ID,1596317738
Hamilton,39.18,-84.53,26.67,88,90,3.1,US,1596317433
Shache,38.42,77.24,26.93,16,100,5.06,CN,1596317609
Gijang,35.24,129.21,26.0,83,75,2.6,KR,1596317738
Ilulissat,69.22,-51.1,6.5,84,87,2.07,GL,1596317601
Talara,-4.58,-81.27,19.11,77,2,8.13,PE,1596317739
San Bartolomé de Tirajana,27.92,-15.57,24.0,73,20,8.7,ES,1596317739
Vilcún,-38.65,-72.23,12.0,87,75,2.6,CL,1596317595
Gombong,-7.61,109.51,22.29,87,65,1.52,ID,1596317740
Minsk,53.9,27.57,15.0,72,0,4.0,BY,1596317590
Pacific Grove,36.62,-121.92,23.89,60,1,4.1,US,1596317579
Santoña,43.44,-3.46,20.56,93,90,2.6,ES,1596317740
Kamenka,51.32,42.77,12.69,89,0,3.63,RU,1596317740
Kolosovka,56.47,73.61,17.81,87,35,0.58,RU,1596317741
Kushchëvskaya,46.56,39.64,18.65,63,4,2.36,RU,1596317741
Nagato,34.38,131.2,26.0,94,75,1.0,JP,1596317741
Mergen,49.18,125.22,21.22,89,100,2.17,CN,1596317741
Tlachichuca,19.1,-97.42,17.63,67,47,3.21,MX,1596317742
Iranshahr,27.2,60.68,37.0,32,73,4.1,IR,1596317742
Iquique,-20.22,-70.14,16.0,72,90,3.6,CL,1596317742
Linköping,58.41,15.62,19.0,63,85,3.1,SE,1596317742
Malé,4.17,73.51,28.0,83,75,5.1,MV,1596317471
Narasannapeta,18.42,84.05,28.03,84,78,2.48,IN,1596317743
Griffith,41.53,-87.42,24.0,69,90,2.69,US,1596317562
Yellowknife,62.46,-114.35,27.22,57,75,5.1,CA,1596317743
Rome,43.21,-75.46,29.0,42,1,1.23,US,1596317743
Igarka,67.47,86.58,13.69,64,92,4.52,RU,1596317744
Haines Junction,60.75,-137.51,18.21,67,100,4.1,CA,1596317744
Tabuk,17.42,121.44,23.63,87,99,0.77,PH,1596317744
Itarema,-2.92,-39.92,26.08,73,13,7.2,BR,1596317744
Darnah,32.77,22.64,26.94,66,0,8.94,LY,1596317745
Kyra,49.58,111.98,11.81,87,57,2.46,RU,1596317745
Saint-Joseph,-21.37,55.62,20.0,77,90,5.1,RE,1596317745
Key West,24.56,-81.78,33.0,62,40,5.7,US,1596317712
Ust'-Uda,54.17,103.03,15.13,94,100,3.73,RU,1596317746
Pontes e Lacerda,-15.23,-59.34,28.82,26,0,2.68,BR,1596317746
Kinel’-Cherkassy,53.47,51.47,17.46,91,91,3.69,RU,1596317746
Iqaluit,63.75,-68.51,17.0,59,75,6.7,CA,1596317746
Long Xuyen,10.38,105.42,25.65,88,100,5.39,VN,1596317746
Kaitangata,-46.28,169.85,10.56,71,90,1.34,NZ,1596317747
Pamplona,42.82,-1.64,20.56,82,75,5.7,ES,1596317747
Şabyā,17.15,42.63,29.0,79,100,2.1,SA,1596317747
Waldoboro,44.1,-69.38,27.22,67,50,0.89,US,1596317747
Usinsk,65.99,57.53,9.8,92,17,3.05,RU,1596317748
Yola,9.2,12.48,27.0,78,20,1.87,NG,1596317748
La Reforma,25.08,-108.05,37.22,51,0,3.58,MX,1596317748
Aripuanã,-9.17,-60.63,28.5,34,23,1.08,BR,1596317614
Umm Kaddadah,13.6,26.69,23.18,80,99,2.99,SD,1596317748
Seoul,37.57,126.98,25.0,100,90,2.72,KR,1596317872
Moa,20.66,-74.94,29.65,78,100,4.26,CU,1596317749
Kaseda-shirakame,31.42,130.32,21.0,100,75,1.0,JP,1596317749
Ermelo,-26.53,29.98,6.96,60,0,1.84,ZA,1596317749
Northam,51.03,-4.22,15.56,85,8,2.68,GB,1596317750
Pauini,-7.71,-66.98,29.78,43,93,1.13,BR,1596317750
Turka,49.15,23.03,13.33,97,0,8.05,UA,1596317750
Shellbrook,53.22,-106.4,26.0,36,20,1.5,CA,1596317484
Chifeng,42.27,118.96,23.95,68,66,2.01,CN,1596317750
Vardø,70.37,31.11,9.35,86,96,5.88,NO,1596317600
Codrington,-38.27,141.97,10.16,90,100,3.18,AU,1596317751
Gladstone,-23.85,151.25,17.0,67,90,2.6,AU,1596317751
Sorsk,54.0,90.25,8.71,92,98,0.27,RU,1596317751
Oddur,4.12,43.89,22.01,72,25,9.14,SO,1596317751
Aplahoué,6.93,1.68,22.17,86,3,2.63,BJ,1596317752
Eenhana,-17.47,16.33,15.7,32,0,4.28,NA,1596317752
Fukuechō,32.69,128.84,27.31,85,31,4.07,JP,1596317752
Bograd,54.23,90.83,13.0,93,98,0.57,RU,1596317752
Kovdor,67.57,30.48,8.84,91,100,1.78,RU,1596317753
Vostok,46.49,135.88,19.59,97,96,1.91,RU,1596317753
Robāţ Karīm,35.48,51.08,30.0,23,40,2.1,IR,1596317753
College,64.86,-147.8,25.0,53,75,1.5,US,1596317592
Kavieng,-2.57,150.8,27.81,80,100,3.65,PG,1596317753
Tuatapere,-46.13,167.68,11.21,89,54,1.01,NZ,1596317547
Constitución,-35.33,-72.42,12.5,93,100,6.12,CL,1596317584
Te Anau,-45.42,167.72,10.7,90,99,0.68,NZ,1596317754
Muros,42.78,-9.06,18.33,75,19,2.68,ES,1596317754
Nelson Bay,-32.72,152.15,7.78,100,0,2.6,AU,1596317754
Cayenne,4.93,-52.33,28.0,78,91,3.1,GF,1596317755
Asău,46.43,26.4,17.22,74,86,1.21,RO,1596317755
Bunia,1.57,30.25,18.04,84,100,0.67,CD,1596317755
San Cristobal,7.77,-72.22,35.0,34,20,7.2,VE,1596317755
Grand-Santi,4.25,-54.38,24.39,94,96,1.68,GF,1596317756
Colares,38.8,-9.45,20.0,72,20,9.3,PT,1596317756
Visnes,59.36,5.22,18.89,63,87,3.1,NO,1596317756
Safi,32.3,-9.24,24.42,65,16,5.8,MA,1596317756
Copiapó,-27.37,-70.33,15.0,62,0,3.6,CL,1596317709
Turaif,31.67,38.66,30.0,40,0,7.7,SA,1596317757
Pisco,-13.7,-76.22,19.0,68,4,7.2,PE,1596317757
Huarmey,-10.07,-78.15,18.51,72,4,3.95,PE,1596317757
Naviraí,-23.07,-54.19,21.28,57,0,2.45,BR,1596317758
Hobyo,5.35,48.53,25.25,77,2,10.76,SO,1596317758
Tahoua,14.89,5.27,29.97,47,25,3.47,NE,1596317724
Otradnoye,59.78,30.82,12.78,81,40,1.0,RU,1596317624
Armidale,-30.52,151.65,5.62,66,0,0.71,AU,1596317758
Los Llanos de Aridane,28.66,-17.92,23.0,83,61,6.2,ES,1596317605
Imbituba,-28.24,-48.67,20.0,68,0,3.6,BR,1596317759
Noumea,-22.28,166.46,19.0,63,90,2.1,NC,1596317890
Hambantota,6.12,81.12,26.58,81,90,7.77,LK,1596317759
Solnechnyy,50.72,136.63,13.1,94,100,2.6,RU,1596317760
Biograd na Moru,43.94,15.45,29.44,61,0,2.6,HR,1596317760
Acaraú,-2.89,-40.12,26.05,73,6,7.39,BR,1596317760
Pepel,8.58,-13.06,23.34,94,100,0.99,SL,1596317760
Koutiala,12.39,-5.46,25.68,75,32,2.61,ML,1596317761
Manadhoo,5.77,73.38,28.29,78,100,5.67,MV,1596317761
Methven,-43.63,171.65,12.78,28,96,2.24,NZ,1596317761
Baracoa,20.35,-74.5,30.2,68,100,4.11,CU,1596317761
Nueva Italia de Ruiz,19.02,-102.1,23.0,78,75,4.1,MX,1596317762
Salina Cruz,16.17,-95.2,33.3,54,0,2.59,MX,1596317729
Panabá,21.28,-88.27,31.79,63,0,5.77,MX,1596317762
Deputatsky,69.3,139.9,12.02,65,65,1.72,RU,1596317762
Bembèrèkè,10.23,2.66,21.69,97,0,1.89,BJ,1596317763
Loncoche,-39.37,-72.63,13.0,76,75,5.1,CL,1596317763
Saint-Pierre,-21.34,55.48,20.0,77,90,5.1,RE,1596317763
Dingle,11.0,122.67,24.79,87,100,0.47,PH,1596317764
Øksfjord,70.24,22.35,12.22,76,57,4.1,NO,1596317764
América Dourada,-11.46,-41.44,19.21,65,0,4.07,BR,1596317764
Vredendal,-31.67,18.5,18.58,26,0,4.02,ZA,1596317764
Talakan,50.32,130.37,20.28,94,44,1.16,RU,1596317765
